H4AL06098|PALMER, GARY|I|2|REP|1728601.16|81537.3|2021427.7|0|446065.86|153239.32|0|0|0|0|0|0|1046435.31|AL|06||||||596510|0|12/31/2024|9960|0
H4AL06163|WILKINS, GERRICK DEWAYNE|C|2|REP|330372.31|0|330372.31|0|0|0|84923.57|115000|0|26000|0|89000|124752|AL|06||||||10|0|07/15/2024|11702|0
H4AL06171|MCFEETERS, KENNETH R|C|2|REP|17000|0|17000|0|22000|5000|0|0|0|0|0|0|0|AL|06||||||0|0|02/20/2024|0|0
H0AL07086|SEWELL, TERRI A.|I|1|DEM|3036770.95|0|2462142.12|0|2895932.07|3470560.9|0|0|0|0|0|0|972896.99|AL|07||||||2063873.95|0|12/31/2024|10412|0
H4AL07104|LITAKER, ROBIN DR.|C|2|REP|42634.27|0|42634.27|0|0|0|0|17180|0|0|0|17577.39|19175.59|AL|07||||||786.47|5000|12/31/2024|300|0
H4AR01077|GOVENS, RODNEY|C|1|DEM|95238.76|0|94346.65|0|0|892.11|0|23538|0|5000|0|0|61360.46|AR|01||||||10055|250|11/25/2024|93.13|0
H0AR01083|CRAWFORD, ERIC ALAN RICK|I|2|REP|1098029.43|7749.97|889704.9|205086|622502.33|830826.86|0|0|0|0|0|0|325357.92|AR|01||||||740193.96|1750|12/31/2024|0|1000
H4AR02232|JONES, MARCUS|C|1|DEM|476872.35|0|473322.69|0|0|3549.66|0|0|0|0|0|0|454577.07|AR|02||||||19300|2450|12/31/2024|527.86|0
H4AR02141|HILL, JAMES FRENCH|I|2|REP|3802050.59|350404.98|3306363.41|0|880665.01|1376352.19|0|0|0|0|0|0|1757301.56|AR|02||||||1690250|0|12/31/2024|21650|0
H4AR03065|MATTELIN, CAITLIN RAE DRAPER|C|1|DEM|258728.4|0|257970.44|0|0|757.96|925.12|0|0|0|0|0|250700.58|AR|03||||||4000|0|11/25/2024|0|0
H0AR03055|WOMACK, STEPHEN A THE HON|I|2|REP|2474937.89|53841.68|2703359.12|0|1944314.89|1715893.66|0|0|0|0|0|0|1075585.74|AR|03||||||1227581.58|0|12/31/2024|10898.63|0
H4AR03073|PENZO, CLINT|C|2|REP|123158.88|0|116705.72|0|0|6453.16|0|0|0|0|0|30000|121803.29|AR|03||||||1000|0|12/31/2024|0|0
H4AR04089|HOWARD, RISI|C|1|DEM|12981.87|0|9156.36|0|0|2287.3|701.37|624.1|0|0|0|624.1|5733.21|AR|04||||||4549.47|1373.72|12/31/2024|0|0
H4AR04048|WESTERMAN, BRUCE|I|2|REP|2736566.95|258440.98|1178557.57|0|1475551.02|3033560.4|0|0|0|0|0|0|1095592.31|AR|04||||||1310140.58|0|12/31/2024|35759|9750
H4AS01018|KUAEA, LOUISE LEALAI MRS.|C|1|DEM|26550|0|31095.58|0|0|-4545.58|0|0|0|0|0|3913.92|26550|AS|00||||||0|0|11/25/2024|0|0
H4AS00036|AMATA, AUMUA|I|2|REP|65150.37|500|63788.13|0|293.9|1656.14|0|0|0|0|0|0|39150.37|AS|00||||||25500|0|12/31/2024|0|0
H2AZ06254|WILLIAMSON, W JOHN|C|1|DEM|270|0|1051.37|0|860.27|0|70|0|0|0|0|0|200|AZ|01||||||0|0|08/23/2023|1051.37|0
H4AZ01186|HORNE, ANDREW|C|1|DEM|2814612.1|0|2814612.1|0|0|0|1306083.97|1329537.02|0|1329537.02|0|0|178991.11|AZ|01||||||0|0|12/31/2024|63009.09|0
H4AZ01194|SHAH, AMISH DR.|C|1|DEM|6343150.1|357719.78|6252020.16|0|0|91801.9|31024.67|163300|0|160000|0|3300|5303935.32|AZ|01||||||480244.58|4775|12/31/2024|59295.05|10000
H4AZ01202|CHERNY, ANDREI|C|1|DEM|2593678.69|24107.35|2588312.61|0|0|5366.08|35.52|150000|0|0|0|13900|2373509.76|AZ|01||||||41000|0|12/31/2024|311150.37|5000
H4AZ01210|KROEMER, KURT|C|1|DEM|297460.33|0|297460.33|0|0|0|52853.01|92773.91|0|92773.91|0|0|151474.41|AZ|01||||||0|0|08/07/2024|4370|0
H4AZ01228|GALAN-WOODS, MARLENE|C|1|DEM|1776275.3|0|1776275.3|0|0|0|38177.55|75000|0|468.98|0|0|1591171.87|AZ|01||||||70500|0|12/02/2024|232818.98|15000
H4AZ01244|O'CALLAGHAN, CONOR|C|1|DEM|2208808.94|0|2077400.02|0|0|0|162562.3|955549.27|0|0|0|1008210.62|1082683.37|AZ|01||||||8000|0|12/31/2024|31066|0
H4AZ01293|GEORGE, KIMBERLY|C|2|REP|153414.43|0|152611.98|0|0|802.45|806.11|0|0|0|0|0|136575.35|AZ|01||||||0|0|12/31/2024|2637.34|0
H4AZ01335|BACKIE, ROBERT|C|2|REP|118736.5|0|90335.97|0|0|28400.53|25|75000|20000|0|0|95000|17954.03|AZ|01||||||0|0|07/10/2024|0|0
H4AZ06045|SCHWEIKERT, DAVID S.|I|2|REP|4213494.89|880729.52|4216607.92|1305.29|52936.95|49823.92|0|0|0|11578.32|0|168177.46|1753393.57|AZ|01||||||1568134.77|10000|12/31/2024|21046.87|2000
H4AZ02176|BOWE, LINDSAY|C|1|DEM|9620|0|9624|0|0|-4|1195|0|4000|0|4000|0|4425|AZ|02||||||0|0|07/15/2023|3091.67|0
H4AZ02184|NEZ, JONATHAN MICHAEL|C|1|DEM|5522850.09|0|5457626.09|0|0|65175.96|20|0|0|0|0|0|5320391.09|AZ|02||||||201939|500|12/31/2024|88119.09|0
